KT,Y,W,D,Time,Nr,Js,Rak1,Rak2,NyLskp,LSkp,Age,Sex,Bfas,Sp,Vikt1,Fvikt,Jnr,Bornyear,Fx,Frisk,Agedays,Dnr,5per,7per,Sex2,AREA,YEAR
11,67,4,5,205,2194,V,11E,8e,2H,Vs,1,1,,3,68,,188,65,,1,757,27,6,4,1,4,1967
11,67,1,4,818,2277,X,20F,8e,1L,Ja,2,1,,3,68,,250,64,,1,1100,5,1,1,1,2,1967
11,67,1,2,1018,2278,F,09H,7f,3U,So,0,2,,,52,,117,66,,1,368,3,1,1,2,4,1967
11,67,2,2,819,2280,X,20F,6h,1L,Ja,0,1,,3,58,,313,66,,1,375,10,2,2,1,2,1967
11,67,1,6,913,2281,X,20F,6h,1L,Ja,0,2,1,,55,,313,66,,1,372,7,2,1,2,2,1967
11,67,2,5,914,2282,X,20F,6h,1L,Ja,0,1,,3,63,,313,66,,1,378,13,3,2,1,2,1967
11,67,1,5,1019,2285,F,09H,7f,3U,So,0,1,,,56,,117,66,,1,371,6,2,1,1,4,1967
11,67,0,7,1110,2286,D,12E,1h,2H,Dr,4,2,1,,54,,261,62,,1,1826,1,1,1,2,3,1967
11,67,1,4,1609,2287,F,11E,9f,2H,Vs,0,1,,3,42,,384,66,,1,370,5,1,1,1,4,1967
11,67,2,6,1020,2288,D,11H,4h,3U,Up,2,1,,3,71,,174,64,,1,1109,14,3,2,1,4,1967
11,67,2,5,1313,2289,F,11H,2j,3U,Up,0,1,,3,68,,341,66,,1,378,13,3,2,1,4,1967
11,67,2,4,915,2290,S,11H,3j,3U,Up,0,1,,3,79,,341,66,,1,377,12,3,2,1,4,1967
11,67,2,5,1021,2291,S,11H,2j,3U,Up,0,1,,3,61,,341,66,,1,378,13,3,2,1,4,1967
11,67,2,4,1111,2292,S,11H,2j,3U,Up,0,1,,3,80,,341,66,,1,377,12,3,2,1,4,1967
11,67,1,6,1314,2293,K,09I,9b,3U,So,0,1,,3,69,,343,66,,1,372,7,2,1,1,4,1967
11,67,2,1,1508,2294,F,11E,8f,2H,Vs,0,1,,3,59,,384,66,,1,374,9,2,2,1,4,1967
11,67,2,2,916,2295,X,20F,8e,1L,Ja,0,1,,3,59,,250,66,,1,375,10,2,2,1,2,1967
11,67,1,5,1315,2296,G,13F,3c,2H,Dr,0,2,,,44,,80,66,,1,371,6,2,1,2,3,1967
11,67,1,5,1509,2297,G,13F,3c,2H,Dr,0,2,,,41,,80,66,,1,371,6,2,1,2,3,1967
11,67,3,2,1316,2298,G,13F,3c,2H,Dr,0,2,,,55,,80,66,,1,382,17,4,3,2,3,1967
11,67,2,6,820,2299,F,11F,2c,2H,Vs,0,2,,,40,,410,66,,1,379,14,3,2,2,4,1967
11,67,2,5,4,2300,V,11E,3f,2H,Vs,0,1,,,69,,156,66,,1,378,13,3,2,1,4,1967
11,67,2,6,1022,2301,G,11E,3f,2H,Vs,0,2,,,45,,156,66,,1,379,14,3,2,2,4,1967
11,67,1,4,2212,2302,V,11E,3f,2H,Vs,0,2,,,49,,156,66,,1,370,5,1,1,2,4,1967
11,67,1,6,821,2303,X,19E,7j,1L,Ja,0,1,,3,64,,454,66,,1,372,7,2,1,1,2,1967
11,67,3,3,3014,2304,T,10I,7e,3U,Up,0,1,,3,60,,97,66,,1,383,18,4,3,1,4,1967
11,67,2,4,606,2305,F,11E,6f,2H,Vs,0,1,,1,,,248,66,,1,377,12,3,2,1,4,1967
11,67,1,4,3015,2306,F,10D,8g,2H,Vr,0,1,,,,,144,66,,1,370,5,1,1,1,3,1967
11,67,3,7,1907,2307,V,11F,3d,2H,Vs,3,2,,,79,,410,63,,1,1482,22,5,4,2,4,1967
11,67,3,6,2106,2308,V,11F,3d,2H,Vs,3,1,,3,92,,410,63,,1,1481,21,5,3,1,4,1967
11,67,3,7,1023,2309,F,12E,1h,2H,Dr,0,1,,3,65,,261,66,,1,387,22,5,4,1,3,1967
11,67,1,4,3016,2310,D,10I,1i,3U,So,0,2,,,52,,32,66,,1,370,5,1,1,2,4,1967
11,67,3,4,3017,2311,D,10I,1i,3U,So,0,2,,,55,,32,66,,1,384,19,4,3,2,4,1967
11,67,1,2,3018,2312,D,10I,1i,3U,So,0,2,,,50,,32,66,,1,368,3,1,1,2,4,1967
11,67,2,7,3019,2313,D,10I,1i,3U,So,0,2,,,53,,32,66,,1,380,15,3,3,2,4,1967
11,67,2,1,3020,2314,G,10I,1i,3U,So,2,1,,,80,,32,64,,1,1104,9,2,2,1,4,1967
11,67,3,6,822,2317,G,11G,6j,3U,Vs,0,1,,3,69,,438,66,,1,386,21,5,3,1,4,1967
11,67,2,1,1510,2318,D,02C,2h,4S,Sk,3,2,,,57,,385,63,,1,1469,9,2,2,2,5,1967
11,67,3,1,1610,2319,S,02C,2h,4S,Sk,0,2,,,59,,385,66,,1,381,16,4,3,2,5,1967
11,67,2,6,1218,2320,D,09H,7f,3U,So,1,1,,,80,,117,65,,1,744,14,3,2,1,4,1967
11,67,2,7,1024,2321,F,09H,7f,3U,So,0,1,,,50,,117,66,,1,380,15,3,3,1,4,1967
11,67,4,1,109,2322,V,11E,2f,2H,Vs,0,2,1,,,,275,66,,1,388,23,5,4,2,4,1967
11,67,3,7,1318,2323,S,09H,7f,3U,So,0,1,,,64,,117,66,,1,387,22,5,4,1,4,1967
11,67,4,2,206,2324,V,11E,3f,2H,Vs,0,2,1,,47,,156,66,,1,389,24,5,4,2,4,1967
11,67,1,1,1219,2325,G,09H,2a,3U,So,0,1,,,,,280,66,,1,367,2,1,1,1,4,1967
11,67,3,7,5,2326,V,09G,2g,3U,Og,2,1,,3,76,,280,64,,1,1117,22,5,4,1,5,1967
11,67,4,1,2213,2327,V,09G,2g,3U,Og,0,2,1,,56,,280,66,,1,388,23,5,4,2,5,1967
11,67,4,2,1,2328,V,09G,2g,3U,Og,2,2,1,,52,,280,64,,1,1119,24,5,4,2,5,1967
11,67,1,3,917,2329,L,09G,7f,3U,So,0,1,,,82,,280,66,,1,369,4,1,1,1,4,1967
11,67,1,1,2214,2330,V,09G,2g,3U,Og,0,2,1,,50,,280,66,,1,367,2,1,1,2,5,1967
11,67,4,1,2309,2331,V,09G,2g,3U,Og,3,2,1,,67,,280,63,,1,1483,23,5,4,2,5,1967
11,67,3,5,1319,2332,D,03C,6c,4S,Sk,2,1,,3,112,,2,64,,1,1115,20,4,3,1,5,1967
11,67,4,6,207,2333,V,11E,2f,2H,Vs,4,1,,3,,,275,62,,1,1853,28,6,4,1,4,1967
11,67,4,5,1025,2334,L,09G,7f,3U,So,0,2,1,,53,,280,66,,1,392,27,6,4,2,4,1967
11,67,4,5,1112,2335,L,09G,7f,3U,So,0,2,1,,50,,280,66,,1,392,27,6,4,2,4,1967
11,67,4,7,6,2339,V,10E,7c,2H,Vr,0,1,,3,74,,46,66,,1,394,29,6,5,1,3,1967
11,67,4,6,2215,2340,V,11E,3f,2H,Vs,1,2,1,,65,,156,65,,1,758,28,6,4,2,4,1967
11,67,4,6,110,2341,V,11E,3f,2H,Vs,0,1,,3,66,,156,66,,1,393,28,6,4,1,4,1967
11,67,4,5,918,2342,X,20F,8e,1L,Ja,0,2,1,,46,,250,66,,1,392,27,6,4,2,2,1967
11,67,4,6,1320,2343,F,11C,6j,2H,Vr,0,1,,3,54,,288,66,,1,393,28,6,4,1,3,1967
11,67,4,7,1321,2344,G,11E,8e,2H,Vs,0,2,1,,56,,188,66,,1,394,29,6,5,2,4,1967
11,67,4,3,2310,2345,V,09H,7f,3U,So,0,2,,,51,,117,66,,1,390,25,5,4,2,4,1967
11,67,4,4,2107,2346,V,09H,7f,3U,So,0,1,,,63,,117,66,,1,391,26,6,4,1,4,1967
11,67,4,5,2216,2347,V,09H,7f,3U,So,3,2,,,55,,117,63,,1,1487,27,6,4,2,4,1967
11,67,4,6,823,2348,K,11H,4h,3U,Up,1,2,1,,63,,174,65,,1,758,28,6,4,2,4,1967
11,67,4,6,919,2349,K,11H,4h,3U,Up,0,1,,3,61,,174,66,,1,393,28,6,4,1,4,1967
11,67,4,6,2005,2350,V,11F,2c,2H,Vs,0,1,,3,73,,410,66,,1,393,28,6,4,1,4,1967
11,67,5,1,2217,2351,V,12H,5i,3U,Up,0,1,,3,54,,459,66,,1,395,30,6,5,1,4,1967
11,67,5,2,2006,2352,X,20F,8e,1L,Ja,0,2,1,,50,,250,66,,1,396,31,7,5,2,2,1967
11,67,5,1,2311,2353,V,11E,3f,2H,Vs,0,2,1,,42,,156,66,,1,395,30,6,5,2,4,1967
11,67,5,5,1113,2354,F,09I,9b,3U,So,0,1,,3,57,,343,66,,1,399,34,7,5,1,4,1967
11,67,5,2,824,2355,F,10E,7c,2H,Vr,1,1,,3,51,,46,65,,1,761,31,7,5,1,3,1967
11,67,4,1,920,2356,F,10F,2h,3U,Na,0,1,,3,,,326,66,,1,388,23,5,4,1,4,1967
11,67,5,3,1114,2357,G,10F,2h,3U,Na,2,2,1,,,,326,64,,1,1127,32,7,5,2,4,1967
11,67,5,6,1115,2358,G,10F,6d,3U,Na,0,1,,,,,183,66,,1,400,35,7,5,1,4,1967
11,67,5,4,1026,2359,G,11H,2j,3U,Up,0,1,,3,80,,341,66,,1,398,33,7,5,1,4,1967
11,67,5,1,1027,2360,F,11H,2j,3U,Up,2,1,,3,60,,341,64,,1,1125,30,6,5,1,4,1967
11,67,3,7,1028,2361,F,11H,2j,3U,Up,0,2,1,1,51,,341,66,,1,387,22,5,4,2,4,1967
11,67,4,4,1611,2362,L,11H,2j,3U,Up,1,1,,3,63,,341,65,,1,756,26,6,4,1,4,1967
11,67,5,4,825,2363,F,12E,1h,2H,Dr,2,2,,,36,,261,64,,1,1128,33,7,5,2,3,1967
11,67,5,7,1612,2364,G,12F,2h,2H,Dr,3,2,,,71,,143,63,,1,1496,36,8,6,2,3,1967
11,67,5,6,1220,2365,T,11F,2c,2H,Vs,0,1,,3,70,,410,66,,1,400,35,7,5,1,4,1967
11,67,4,7,1412,2366,U,12I,1b,3U,Up,0,1,,3,75,,121,66,,1,394,29,6,5,1,4,1967
11,67,4,7,1413,2367,U,12I,1b,3U,Up,0,1,,1,77,,121,66,,1,394,29,6,5,1,4,1967
11,67,5,6,1116,2368,U,11E,5f,2H,Vs,0,1,,3,49,,189,66,,1,400,35,7,5,1,4,1967
11,67,5,6,1117,2369,G,13F,3c,2H,Dr,0,1,,3,48,,80,66,,1,400,35,7,5,1,3,1967
11,67,5,6,1118,2370,G,13F,3c,2H,Dr,3,1,,2,50,,80,63,,1,1495,35,7,5,1,3,1967
11,67,5,6,1414,2371,G,13F,3c,2H,Dr,1,2,1,,61,,80,65,,1,765,35,7,5,2,3,1967
11,67,5,6,1322,2372,G,13F,3c,2H,Dr,0,2,,,42,,80,66,,1,400,35,7,5,2,3,1967
11,67,5,1,1323,2373,F,09H,7f,3U,So,1,2,,,55,,117,65,,1,760,30,6,5,2,4,1967
11,67,6,1,1415,2374,L,10E,8d,2H,Vr,4,1,,3,,,346,62,,1,1862,37,8,6,1,3,1967
11,67,5,7,3025,2375,F,10D,7g,2H,Vr,0,1,,,,,144,66,,1,401,36,8,6,1,3,1967
11,67,4,1,303,2376,V,10E,8d,2H,Vr,0,1,,2,,,346,66,,1,388,23,5,4,1,3,1967
11,67,2,6,111,2377,V,11D,2g,2H,Vr,0,1,,,,,100,66,,1,379,14,3,2,1,3,1967
11,67,4,6,3026,2378,V,11D,2g,2H,Vr,0,2,,,,,100,66,,1,393,28,6,4,2,3,1967
11,67,4,1,208,2379,V,11D,1d,2H,Vr,0,2,,,,,269,66,,1,388,23,5,4,2,3,1967
11,67,5,7,112,2380,V,11E,3f,2H,Vs,0,1,,3,62,,156,66,,1,401,36,8,6,1,4,1967
11,67,5,1,2218,2381,V,10G,9g,3U,Vs,2,1,,3,,,63,64,,1,1125,30,6,5,1,4,1967
11,67,6,4,3027,2382,F,10E,7c,2H,Vr,0,1,,3,58,,46,66,,1,405,40,8,6,1,3,1967
11,67,6,3,113,2383,V,11E,4f,2H,Vs,0,1,,1,,,275,66,,1,404,39,8,6,1,4,1967
11,67,6,3,1511,2384,X,20F,8e,1L,Ja,0,1,,3,61,,250,66,,1,404,39,8,6,1,2,1967
11,67,6,5,921,2385,F,09H,7f,3U,So,0,2,1,,47,,117,66,,1,406,41,9,6,2,4,1967
11,67,7,2,826,2387,D,11H,4h,3U,Up,0,2,1,,59,,174,66,,1,410,45,9,7,2,4,1967
11,67,6,4,1029,2388,G,02C,0i,4S,Sk,0,2,4,2,,,465,66,,1,405,40,8,6,2,5,1967
11,67,6,3,1119,2389,L,09G,7f,3U,So,1,1,,2,78,,280,65,,1,769,39,8,6,1,4,1967
11,67,6,6,1512,2390,F,11E,8f,2H,Vs,0,1,,3,62,,384,66,,1,407,42,9,6,1,4,1967
11,67,7,1,1030,2391,X,19G,1e,1L,Ja,2,1,,3,70,,399,64,,1,1139,44,9,7,1,2,1967
11,67,7,4,711,2393,X,20F,8e,1L,Ja,0,2,1,1,46,,250,66,,1,412,47,10,7,2,2,1967
11,67,6,4,922,2394,D,10H,3g,3U,So,0,1,,2,,,168,66,,1,405,40,8,6,1,4,1967
11,67,7,4,2312,2395,V,11E,3f,2H,Vs,0,1,,3,57,,156,66,,1,412,47,10,7,1,4,1967
11,67,1,1,3029,2396,F,10D,7h,2H,Vr,0,1,,2,,,284,66,,1,367,2,1,1,1,3,1967
11,67,7,3,7,2397,V,13F,3c,2H,Dr,0,1,,3,65,,80,66,,1,411,46,10,7,1,3,1967
11,67,6,6,1120,2398,D,13F,3c,2H,Dr,0,1,,3,63,,80,66,,1,407,42,9,6,1,3,1967
11,67,6,6,1416,2399,G,13F,3c,2H,Dr,2,2,,,66,,80,64,,1,1137,42,9,6,2,3,1967
11,67,6,7,1417,2400,G,13F,3c,2H,Dr,0,2,2,1,58,,80,66,,1,408,43,9,7,2,3,1967
11,67,8,1,1513,2401,G,13F,3c,2H,Dr,2,1,,3,65,,80,64,,1,1146,51,11,8,1,3,1967
11,67,7,7,1031,2402,G,12I,1f,3U,Up,0,2,,,58,,174,66,,1,415,50,10,8,2,4,1967
11,67,7,5,2219,2403,V,12H,5i,3U,Up,0,1,,3,66,,459,66,,1,413,48,10,7,1,4,1967
11,67,7,6,2007,2404,V,11F,2c,2H,Vs,1,1,,3,78,,410,65,,1,779,49,10,7,1,4,1967
11,67,7,7,1325,2405,G,09H,7f,3U,So,0,2,4,1,45,,117,66,,1,415,50,10,8,2,4,1967
11,67,7,6,3030,2406,X,20F,6h,1L,Ja,0,1,,3,57,,313,66,,1,414,49,10,7,1,2,1967
11,67,8,1,712,2407,X,20F,6h,1L,Ja,0,1,,3,62,,313,66,,1,416,51,11,8,1,2,1967
11,67,7,5,3031,2408,F,10D,7h,2H,Vr,0,2,1,,,,346,66,,1,413,48,10,7,2,3,1967
11,67,7,5,3032,2409,F,10E,4b,2H,Vr,0,1,,,,,21,66,,1,413,48,10,7,1,3,1967
11,67,7,7,923,2410,F,11E,6f,2H,Vs,0,1,,3,50,,137,66,,1,415,50,10,8,1,4,1967
11,67,8,1,1032,2411,G,11D,5b,2H,Vr,0,1,,3,63,,312,66,,1,416,51,11,8,1,3,1967
11,67,8,2,3033,2412,X,20F,6h,1L,Ja,0,1,,3,65,,313,66,,1,417,52,11,8,1,2,1967
11,67,8,4,8,2413,V,11I,6a,3U,Up,0,2,4,1,61,,174,66,,1,419,54,11,8,2,4,1967
11,67,8,2,1326,2415,D,03C,6c,4S,Sk,1,1,,3,80,,2,65,,1,782,52,11,8,1,5,1967
11,67,8,2,1708,2416,D,03C,6c,4S,Sk,1,2,4,2,59,,2,65,,1,782,52,11,8,2,5,1967
11,67,7,2,2313,2417,V,09G,1g,3U,Og,0,2,1,,62,,280,66,,1,410,45,9,7,2,5,1967
11,67,7,5,713,2418,F,11E,4e,2H,Vs,0,1,,3,53,,473,66,,1,413,48,10,7,1,4,1967
11,67,8,5,1327,2420,G,09H,7f,3U,So,2,2,2,,45,,117,64,,1,1150,55,11,8,2,4,1967
11,67,8,5,1514,2421,G,09H,7f,3U,So,0,2,2,1,53,,117,66,,1,420,55,11,8,2,4,1967
11,67,8,7,3035,2422,D,10I,7h,3U,Up,2,1,,3,61,,417,64,,1,1152,57,12,9,1,4,1967
11,67,8,2,1613,2423,D,09H,2a,3U,So,0,1,,3,64,,280,66,,1,417,52,11,8,1,4,1967
11,67,8,5,1418,2424,D,09H,2a,3U,So,3,1,,3,65,,280,63,,1,1515,55,11,8,1,4,1967
11,67,8,6,1515,2425,G,11C,6j,2H,Vr,0,2,1,,55,,288,66,,1,421,56,12,8,2,3,1967
11,67,8,6,405,2426,V,10E,7c,2H,Vr,0,2,1,,57,,46,66,,1,421,56,12,8,2,3,1967
11,67,8,5,827,2427,F,10F,2h,3U,Na,1,1,,3,,,326,65,,1,785,55,11,8,1,4,1967
11,67,8,6,9,2428,V,11E,2f,2H,Vs,0,2,,,,,275,66,,1,421,56,12,8,2,4,1967
11,67,8,5,1221,2429,G,12I,8h,3U,Up,0,2,4,2,49,,26,66,,1,420,55,11,8,2,4,1967
11,67,8,6,209,2430,V,11E,3f,2H,Vs,0,2,1,1,63,,156,66,,1,421,56,12,8,2,4,1967
11,67,8,7,2108,2431,V,11E,3f,2H,Vs,0,1,,3,57,,156,66,,1,422,57,12,9,1,4,1967
11,67,8,5,1328,2432,G,11H,8j,3U,Up,0,1,,3,,,121,66,,1,420,55,11,8,1,4,1967
11,67,8,6,1033,2433,D,13F,3c,2H,Dr,3,2,4,1,61,,80,63,,1,1516,56,12,8,2,3,1967
11,67,9,2,1709,2434,F,11C,6j,2H,Vr,0,1,,3,63,,288,66,,1,424,59,12,9,1,3,1967
11,67,8,6,924,2435,D,02C,1h,4S,Sk,0,1,,3,70,,306,66,,1,421,56,12,8,1,5,1967
11,67,7,7,1419,2436,D,02C,2g,4S,Sk,0,2,4,1,63,,306,66,,1,415,50,10,8,2,5,1967
11,67,7,7,925,2437,D,02C,1h,4S,Sk,0,2,4,2,70,,306,66,,1,415,50,10,8,2,5,1967
11,67,7,6,1122,2438,D,02C,1h,4S,Sk,0,2,4,1,60,,306,66,,1,414,49,10,7,2,5,1967
11,67,9,3,1516,2439,F,11E,7c,2H,Vr,0,2,,,37,,248,66,,1,425,60,12,9,2,3,1967
11,67,9,2,607,2440,F,12E,1g,2H,Dr,0,1,,3,55,,261,66,,1,424,59,12,9,1,3,1967
11,67,8,6,210,2441,F,11E,8e,2H,Vs,0,2,1,,52,,188,66,,1,421,56,12,8,2,4,1967
11,67,8,5,3036,2442,S,10H,3h,3U,So,1,2,1,,50,,168,65,,1,785,55,11,8,2,4,1967
11,67,9,6,828,2443,K,12I,5a,3U,Up,0,2,4,1,57,,408,66,,1,428,63,13,9,2,4,1967
11,67,9,6,3037,2444,K,12I,5a,3U,Up,0,1,,3,74,,408,66,,1,428,63,13,9,1,4,1967
11,67,9,6,3038,2445,K,12I,5a,3U,Up,0,1,,3,68,,408,66,,1,428,63,13,9,1,4,1967
11,67,9,6,829,2446,K,12I,5a,3U,Up,0,2,1,1,56,,408,66,,1,428,63,13,9,2,4,1967
11,67,9,5,1710,2447,F,11C,6j,2H,Vr,0,1,,3,64,,288,66,,1,427,62,13,9,1,3,1967
11,67,9,5,926,2448,X,19G,1e,1L,Ja,0,1,,3,68,,399,66,,1,427,62,13,9,1,2,1967
11,67,8,7,1517,2449,D,02D,8c,4S,Sk,0,2,4,1,65,,278,66,,1,422,57,12,9,2,5,1967
11,67,10,1,1711,2450,S,10I,7h,3U,Up,0,2,5,,54,,417,66,,1,430,65,13,10,2,4,1967
11,67,9,1,608,2451,X,20F,6h,1L,Ja,0,1,,3,62,,313,66,,1,423,58,12,9,1,2,1967
11,67,9,5,2220,2452,V,11D,5b,2H,Vr,0,2,4,1,47,,312,66,,1,427,62,13,9,2,3,1967
11,67,2,4,3039,2453,F,11D,3h,2H,Vr,0,1,,,,,262,66,,1,377,12,3,2,1,3,1967
11,67,6,5,3040,2454,F,11D,3h,2H,Vr,0,1,,,,,262,66,,1,406,41,9,6,1,3,1967
11,67,9,6,3041,2455,F,11D,3h,2H,Vr,5,2,2,1,,,262,61,,1,2253,63,13,9,2,3,1967
11,67,9,1,211,2456,V,11D,1d,2H,Vr,0,2,4,1,,,269,66,,1,423,58,12,9,2,3,1967
11,67,9,2,506,2457,V,11D,4e,2H,Vr,5,2,4,1,,,164,61,,1,2249,59,12,9,2,3,1967
11,67,8,7,2314,2458,U,11H,8j,3U,Up,0,1,,3,75,,121,66,,1,422,57,12,9,1,4,1967
11,67,8,7,1222,2459,D,11H,9i,3U,Up,1,2,4,3,49,,373,65,,1,787,57,12,9,2,4,1967
11,67,7,2,1518,2460,S,02D,8g,4S,Sk,1,2,2,1,63,,9,65,,1,775,45,9,7,2,5,1967
11,67,7,7,1420,2461,S,02D,8g,4S,Sk,1,2,4,2,65,,9,65,,1,780,50,10,8,2,5,1967
11,67,9,7,3042,2462,D,10H,5f,3U,So,1,2,4,1,51,,253,65,,1,794,64,13,10,2,4,1967
11,67,9,7,1223,2463,F,11E,8f,2H,Vs,0,1,,3,58,,384,66,,1,429,64,13,10,1,4,1967
11,67,9,3,1224,2464,D,09I,9b,3U,So,1,1,,3,78,,343,65,,1,790,60,12,9,1,4,1967
11,67,9,3,714,2465,F,09I,9b,3U,So,0,2,1,,57,,343,66,,1,425,60,12,9,2,4,1967
11,67,8,3,1421,2466,L,11H,2j,3U,Up,1,2,3,1,54,,341,65,,1,783,53,11,8,2,4,1967
11,67,8,1,927,2467,F,11H,2j,3U,Up,1,2,4,1,52,,341,65,,1,781,51,11,8,2,4,1967
11,67,10,1,715,2468,F,11H,3j,3U,Up,0,1,,3,57,,341,66,,1,430,65,13,10,1,4,1967
11,67,9,6,1034,2469,F,11H,2j,3U,Up,0,1,,3,61,,341,66,,1,428,63,13,9,1,4,1967
11,67,10,3,716,2470,F,11H,3j,3U,Up,0,1,,3,59,,341,66,,1,432,67,14,10,1,4,1967
11,67,9,6,928,2471,X,19G,1e,1L,Ja,0,2,4,2,58,,399,66,,1,428,63,13,9,2,2,1967
11,67,10,2,830,2472,X,19G,1e,1L,Ja,2,2,4,2,62,,399,64,,1,1161,66,14,10,2,2,1967
11,67,10,1,1422,2473,G,01D,9j,4S,Sk,2,2,5,,74,,402,64,,1,1160,65,13,10,2,5,1967
11,67,10,7,717,2474,S,09G,6c,3U,Og,1,2,5,,70,,43,65,,1,801,71,15,11,2,5,1967
11,67,10,6,1423,2475,T,10I,8f,3U,Up,2,1,,3,74,,99,64,,1,1165,70,14,10,1,4,1967
11,67,10,6,609,2476,S,09G,6c,3U,Og,8,1,,3,70,,43,58,,1,3355,70,14,10,1,5,1967
11,67,10,7,610,2477,S,09G,6c,3U,Og,0,1,,3,65,,43,66,,1,436,71,15,11,1,5,1967
11,67,11,1,3043,2478,S,10I,7h,3U,Up,0,1,,3,58,,417,66,,1,437,72,15,11,1,4,1967
11,67,10,3,3044,2479,K,11I,9c,3U,Up,3,2,4,2,65,,408,63,,1,1527,67,14,10,2,4,1967
11,67,11,1,1123,2480,K,02D,8c,4S,Sk,0,1,,3,81,,278,66,,1,437,72,15,11,1,5,1967
11,67,10,5,831,2481,F,09D,7a,2H,Vr,0,2,1,,,,359,66,,1,434,69,14,10,2,3,1967
11,67,8,2,114,2482,V,09C,8j,2H,Vr,1,1,,3,,,28,65,,1,782,52,11,8,1,3,1967
11,67,7,3,10,2483,V,09C,8j,2H,Vr,3,2,,,,,28,63,,1,1506,46,10,7,2,3,1967
11,67,6,3,2315,2484,V,09C,8j,2H,Vr,0,1,,,,,28,66,,1,404,39,8,6,1,3,1967
11,67,8,5,115,2485,V,09C,8j,2H,Vr,1,1,,,,,28,65,,1,785,55,11,8,1,3,1967
11,67,8,5,212,2486,V,09C,8j,2H,Vr,1,1,,,,,28,65,,1,785,55,11,8,1,3,1967
11,67,9,2,3045,2487,F,11D,2g,2H,Vr,0,2,1,1,,,84,66,,1,424,59,12,9,2,3,1967
11,67,11,1,1814,2488,S,02C,1h,4S,Sk,1,2,5,,75,,306,65,,1,802,72,15,11,2,5,1967
11,67,11,1,832,2489,F,02D,8g,4S,Sk,3,2,4,1,59,,9,63,,1,1532,72,15,11,2,5,1967
11,67,11,6,1035,2490,K,11H,4h,3U,Up,0,2,7,,52,,174,66,,1,442,77,16,11,2,4,1967
11,67,12,1,1815,2491,S,12D,4f,2H,Vr,0,2,5,,53,,425,66,,1,444,79,16,12,2,3,1967
11,67,11,7,833,2492,F,12D,4f,2H,Vr,0,2,4,1,48,,425,66,,1,443,78,16,12,2,3,1967
11,67,12,5,507,2493,F,11E,7c,2H,Vr,4,2,4,2,42,,248,62,,1,1908,83,17,12,2,3,1967
11,67,11,7,1124,2494,K,10I,0g,3U,So,4,2,5,,70,,245,62,,1,1903,78,16,12,2,4,1967
11,67,11,7,1329,2495,K,10I,0g,3U,So,2,2,5,,63,,245,64,,1,1173,78,16,12,2,4,1967
11,67,11,7,1330,2496,K,10I,0g,3U,So,2,1,,3,63,,245,64,,1,1173,78,16,12,1,4,1967
11,67,11,1,1331,2497,S,29J,4f,1L,Lp,0,1,,3,54,,119,66,,1,437,72,15,11,1,2,1967
11,67,12,2,1712,2498,F,11C,6j,2H,Vr,0,2,5,,60,,288,66,,1,445,80,16,12,2,3,1967
11,67,11,4,929,2499,S,02D,5b,4S,Sk,0,1,,2,75,,414,66,,1,440,75,15,11,1,5,1967
11,67,12,4,1519,2500,X,20F,8e,1L,Ja,0,2,4,1,47,,250,66,,1,447,82,17,12,2,2,1967
11,67,13,1,718,2501,X,20F,6h,1L,Ja,1,2,5,,52,,313,65,,1,816,86,18,13,2,2,1967
11,67,12,6,930,2502,K,11H,4h,3U,Up,1,2,5,,71,,174,65,,1,814,84,17,12,2,4,1967
11,67,12,6,834,2503,K,11H,4h,3U,Up,3,2,5,,52,,174,63,,1,1544,84,17,12,2,4,1967
11,67,12,6,835,2504,S,03C,6c,4S,Sk,1,1,,3,112,,2,65,,1,814,84,17,12,1,5,1967
11,67,12,6,836,2505,G,03C,6c,4S,Sk,1,2,7,,76,,2,65,,1,814,84,17,12,2,5,1967
11,67,12,5,3046,2506,V,08G,0c,3U,Og,6,2,5,,61,,92,60,,1,2638,83,17,12,2,5,1967
11,67,12,5,837,2507,F,09I,9b,3U,So,0,1,,3,57,,343,66,,1,448,83,17,12,1,4,1967
11,67,1,5,3047,2508,U,29I,6i,1L,Lp,0,,,,,,238,66,,1,371,6,2,1,,2,1967
11,67,11,2,3048,2509,U,29J,6h,1L,Lp,2,1,,3,63,,238,64,,1,1168,73,15,11,1,2,1967
11,67,13,1,931,2510,K,02D,8c,4S,Sk,0,1,,2,65,,278,66,,1,451,86,18,13,1,5,1967
11,67,13,1,1125,2511,K,02D,8c,4S,Sk,0,1,,2,81,,278,66,,1,451,86,18,13,1,5,1967
11,67,14,1,838,2512,F,11H,2j,3U,Up,0,2,7,,50,,341,66,,1,458,93,19,14,2,4,1967
11,67,13,7,3049,2513,T,11J,0b,3U,Up,0,1,,2,48,,329,66,,1,457,92,19,14,1,4,1967
11,67,11,5,1036,2514,F,11H,2j,3U,Up,5,2,5,,53,,341,61,,1,2266,76,16,11,2,4,1967
11,67,13,3,1816,2515,G,02D,8c,4S,Sk,0,2,7,,67,,278,66,,1,453,88,18,13,2,5,1967
11,67,13,5,508,2516,F,11E,4e,2H,Vs,0,1,,3,45,,111,66,,1,455,90,18,13,1,4,1967
11,67,12,6,2221,2517,V,19G,1e,1L,Ja,0,1,,3,63,,399,66,,1,449,84,17,12,1,2,1967
11,67,12,6,719,2518,S,10I,9i,3U,Up,0,1,,3,,,7,66,,1,449,84,17,12,1,4,1967
