KT,Y,W,D,Time,Nr,Js,Rak1,Rak2,NyLskp,LSkp,Age,Sex,Bfas,Sp,Vikt1,Fvikt,Jnr,Bornyear,Fx,Frisk,Agedays,Dnr,5per,7per,Sex2,AREA,YEAR
11,68,11,4,1140,3947,V,09C,8j,2H,Vr,1,2,5,,62,,28,66,,1,804,74,15,11,2,3,1968
11,68,10,7,40,3948,V,09C,8j,2H,Vr,1,2,5,,64,,28,66,,1,800,70,14,10,2,3,1968
11,68,14,4,815,3949,F,11H,2j,3U,Up,0,1,,2,47,,341,67,,1,460,95,19,14,1,4,1968
11,68,14,3,528,3950,V,11D,5b,2H,Vr,5,2,5,,,47,312,62,,1,2284,94,19,14,2,3,1968
11,68,14,7,1920,3951,S,11J,0b,3U,Up,4,2,7,,58,,329,63,,1,1923,98,20,14,2,4,1968
11,68,14,6,529,3952,S,10I,9i,3U,Up,0,1,,3,,,7,67,,1,462,97,20,14,1,4,1968
11,68,15,1,530,3953,S,10I,9i,3U,Up,0,1,,1,55,,7,67,,1,464,99,20,15,1,4,1968
11,68,14,4,606,3954,S,13D,0c,2H,Vr,2,1,,3,67,,57,65,,1,1190,95,19,14,1,3,1968
11,68,15,1,1838,3955,S,10I,1b,3U,So,2,1,,3,59,,329,65,,1,1194,99,20,15,1,4,1968
11,68,14,6,102,3956,V,11D,8b,2H,Vr,0,2,5,,,41,214,67,,1,462,97,20,14,2,3,1968
11,68,14,6,2025,3957,T,10E,1d,3U,Na,1,2,,,,,406,66,,1,827,97,20,14,2,4,1968
11,68,14,5,607,3958,G,03D,3i,4S,Sk,0,2,7,,,,289,67,,1,461,96,20,14,2,5,1968
11,68,14,7,703,3959,F,11F,6g,2H,Vs,1,2,5,,52,,410,66,,1,828,98,20,14,2,4,1968
11,68,15,2,531,3960,V,13D,0c,2H,Vr,4,2,5,,52,,57,63,,1,1925,100,20,15,2,3,1968
11,68,15,2,532,3961,V,13D,0c,2H,Vr,1,2,5,,72,,57,66,,1,830,100,20,15,2,3,1968
11,68,15,1,936,3962,F,11E,7g,2H,Vs,0,1,,3,47,,161,67,,1,464,99,20,15,1,4,1968
11,68,15,1,103,3963,V,18F,0c,1L,Ja,0,1,,3,42,,308,67,,1,464,99,20,15,1,2,1968
