KT,Y,W,D,Time,Nr,Js,Rak1,Rak2,NyLskp,LSkp,Age,Sex,Bfas,Sp,Vikt1,Fvikt,Jnr,Bornyear,Fx,Frisk,Agedays,Dnr,5per,7per,Sex2
11,69,3,6,1453,5335,G,12I,4c,3U,Up,2,2,1,,78,,329,66,,1,1113,18,4,3,2
11,69,3,3,1254,5336,D,12I,4c,3U,Up,0,1,,3,55,,329,68,,1,380,15,3,3,1
11,69,8,5,1706,5337,X,18E,3f,1L,Ja,4,2,1,,50,,297,64,,1,1877,52,11,8,2
11,69,8,7,845,5338,X,18E,3f,1L,Ja,1,1,,3,44,,297,67,,1,784,54,11,8,1
11,69,8,5,1940,5339,X,18E,3f,1L,Ja,1,2,1,,40,,297,67,,1,782,52,11,8,2
11,69,7,7,745,5340,X,18F,5c,1L,Ja,0,2,1,,45,,420,68,,1,412,47,10,7,2
11,69,7,3,746,5341,X,18F,5c,1L,Ja,0,2,1,,41,,420,68,,1,408,43,9,7,2
11,69,8,6,1042,5342,X,17D,4i,1L,Hr,2,2,1,,41,,222,66,,1,1148,53,11,8,2
11,69,8,7,846,5343,X,17D,4i,1L,Hr,3,1,,3,52,,222,65,,1,1514,54,11,8,1
11,69,8,7,747,5344,X,19E,1c,1L,Ja,2,1,,3,83,,310,66,,1,1149,54,11,8,1
11,69,8,6,748,5345,X,18G,7d,1L,Ja,5,1,,3,58,,307,63,,1,2243,53,11,8,1
11,69,7,1,749,5346,X,18G,7d,1L,Ja,2,2,1,,47,,307,66,,1,1136,41,9,6,2
11,69,7,6,847,5347,X,18G,7d,1L,Ja,2,1,,3,62,,307,66,,1,1141,46,10,7,1
11,69,8,2,947,5348,X,18G,7d,1L,Ja,2,2,1,,51,,307,66,,1,1144,49,10,7,2
11,69,5,5,2223,5349,V,12D,2h,2H,Vr,0,2,1,,52,,391,68,,1,396,31,7,5,2
11,69,5,5,2224,5350,V,12D,2h,2H,Vr,0,1,,3,71,,391,68,,1,396,31,7,5,1
11,69,6,1,27,5351,V,12D,2h,2H,Vr,2,2,1,,48,,391,66,,1,1129,34,7,5,2
11,69,5,7,2225,5352,V,12D,2h,2H,Vr,0,2,1,,45,,391,68,,1,398,33,7,5,2
11,69,5,7,2226,5353,V,12D,2h,2H,Vr,5,1,,3,78,,391,63,,1,2223,33,7,5,1
11,69,6,6,225,5354,V,12D,2h,2H,Vr,0,2,1,,35,,391,68,,1,404,39,8,6,2
11,69,6,7,3052,5355,S,10I,7e,3U,Up,0,2,4,1,53,,93,68,,1,405,40,8,6,2
11,69,7,7,3053,5356,S,10I,7e,3U,Up,3,2,1,,64,,93,65,,1,1507,47,10,7,2
11,69,6,7,3054,5357,S,10I,7e,3U,Up,1,2,1,,67,,93,67,,1,770,40,8,6,2
11,69,6,7,3055,5358,S,10I,7e,3U,Up,0,2,2,,57,,93,68,,1,405,40,8,6,2
11,69,9,1,502,5359,X,20E,2i,1L,Ja,2,1,,3,75,,419,66,,1,1150,55,11,8,1
11,69,8,1,339,5360,V,11F,5e,2H,Vs,1,2,2,,55,,272,67,,1,778,48,10,7,2
11,69,9,1,340,5361,V,11F,5e,2H,Vs,0,1,,3,65,,272,68,,1,420,55,11,8,1
11,69,8,6,848,5362,D,09E,8a,2H,Vr,2,1,,3,77,,21,66,,1,1148,53,11,8,1
11,69,8,7,3056,5363,V,11F,7h,2H,Vs,2,2,1,,52,,272,66,,1,1149,54,11,8,2
