KT,Y,W,D,Time,Nr,Js,Rak1,Rak2,NyLskp,LSkp,Age,Sex,Bfas,Sp,Vikt1,Fvikt,Jnr,Bornyear,Fx,Frisk,Agedays,Dnr,5per,7per,Sex2
11,61,11,7,3000,1,D,01D,9j,4S,Sk,,4,5,,73,,,,,1,,78,16,12,2
11,61,4,4,3001,2,F,06G,8j,,Sm,,4,1,,50,,,,,1,,26,6,4,2
11,61,19,2,3002,3,F,10C,7j,2H,Vr,,4,5,,59,,,,,1,,129,26,19,2
11,62,11,2,3003,4,F,07G,9e,,Sm,,4,5,,,,,,,1,,72,15,11,2
11,62,12,2,3004,5,X,20F,6h,1L,Ja,,4,5,,55,,,,,1,,79,16,12,2
11,62,10,4,3005,7,F,06F,8a,,Sm,,4,5,,,,,,,1,,67,14,10,2
11,62,7,4,3006,9,V,07H,4a,,Sm,,4,5,,62,,,,,1,,46,10,7,2
11,62,8,3,3007,10,D,09I,7a,3U,So,,4,5,,,,,,,1,,52,11,8,2
11,61,12,6,3008,14,K,11H,2j,3U,Up,,4,5,,65,,,,,1,,84,17,12,2
11,62,14,5,3009,15,X,18E,6h,1L,Ja,,4,5,,46,,,,,1,,96,20,14,2
11,62,16,5,3010,16,S,11I,5a,3U,Up,,4,5,,49,,,,,1,,110,22,16,2
11,62,16,7,3011,17,U,04E,1g,,Sm,,4,7,,61,,,,,1,,112,23,16,2
11,62,6,4,3012,19,K,03D,7d,4S,Sk,,4,4,,95,,,,,1,,39,8,6,2
11,61,10,6,3013,20,K,11H,2j,3U,Up,,4,4,,61,,,,,1,,70,14,10,2
11,61,10,6,3014,23,K,11H,2j,3U,Up,,4,4,,52,,,,,1,,70,14,10,2
11,62,12,7,3015,24,F,07G,1e,,Sm,,4,5,,68,,,,,1,,84,17,12,2
11,62,11,4,3016,25,U,06D,3j,,Sm,,4,5,,61,,,,,1,,74,15,11,2
11,61,9,7,3017,27,K,10I,9b,3U,Up,,4,4,,,,,,,1,,64,13,10,2
11,61,14,3,3018,30,F,07E,1c,,Sm,,4,5,,,,,,,1,,95,19,14,2
11,62,10,3,3019,32,S,09G,7f,3U,So,,4,5,,,,,,,1,,66,14,10,2
11,62,9,7,3020,34,G,03C,5c,4S,Sk,,4,5,,60,,,,,1,,63,13,9,2
11,62,9,4,3021,37,X,20F,6h,1L,Ja,,4,1,,54,,,,,1,,60,12,9,2
11,62,8,1,3022,39,S,07G,3e,,Sm,,4,4,,,,,,,1,,50,10,8,2
11,62,12,1,3023,41,S,07G,3e,,Sm,,4,5,,51,,,,,1,,78,16,12,2
11,62,12,7,3024,42,K,10I,7a,3U,Up,,4,5,,61,,,,,1,,84,17,12,2
11,62,11,8,3025,43,X,20F,6h,1L,Ja,,4,5,,54,,,,,1,,74,-9,-9,2
11,62,8,6,3026,44,S,09G,7f,3U,So,,4,4,,,,,,,1,,55,11,8,2
11,62,12,4,3027,45,V,07E,1a,,Sm,,4,5,,,,,,,1,,81,17,12,2
11,62,10,7,3028,46,G,09G,1g,3U,Og,,4,5,,,,,,,1,,70,14,10,2
11,62,9,4,3029,47,L,09G,2h,3U,So,,4,5,,,,,,,1,,60,12,9,2
11,62,5,6,3030,48,G,09G,1g,3U,Og,,4,2,,,,,,,1,,34,7,5,2
11,62,9,7,3031,49,X,20F,6h,1L,Ja,,4,1,,40,,,,,1,,63,13,9,2
11,62,11,4,3032,50,X,20F,6h,1L,Ja,,4,4,,46,,,,,1,,74,15,11,2
11,62,13,2,3033,51,S,11I,5a,3U,Up,,4,4,,51,,,,,1,,86,18,13,2
11,62,5,3,3034,52,X,20F,6h,1L,Ja,,4,1,,40,,,,,1,,31,7,5,2
11,62,13,3,3035,53,S,11I,5a,3U,Up,,4,7,,54,,,,,1,,87,18,13,2
11,62,10,6,3036,54,G,11H,5j,3U,Up,,4,5,,77,,,,,1,,69,14,10,2
11,62,7,5,3037,55,G,11H,9j,3U,Up,,4,4,,59,,,,,1,,47,10,7,2
11,62,9,7,3038,56,K,05E,8c,,Sm,,4,5,,70,,,,,1,,63,13,9,2
11,61,8,6,3039,57,K,06D,4j,,Sm,,4,4,,,,,,,1,,56,12,8,2
11,62,4,7,3040,58,X,20F,6h,1L,Ja,,4,1,,34,,,,,1,,28,6,4,2
11,62,19,5,3041,59,G,04E,1g,,Sm,,4,7,,69,,,,,1,,131,27,19,2
11,62,17,7,3042,60,G,04E,1g,,Sm,,4,7,,85,,,,,1,,119,24,17,2
11,62,10,7,3043,61,G,09G,1g,3U,Og,,4,7,,,,,,,1,,70,14,10,2
11,62,7,6,3044,62,S,10I,7h,3U,Up,,4,5,,,,,,,1,,48,10,7,2
11,62,10,5,3045,63,U,11H,5j,3U,Up,,4,5,,72,,,,,1,,68,14,10,2
11,62,12,6,3046,64,G,03D,4h,4S,Sk,,4,7,,62,,,,,1,,83,17,12,2
11,62,9,1,3047,66,D,06F,5i,,Sm,,4,4,,60,,,,,1,,57,12,9,2
11,62,10,7,3048,67,V,07E,0a,,Sm,,4,5,,90,,,,,1,,70,14,10,2
11,62,5,1,3049,68,X,20F,6h,1L,Ja,,4,1,,53,,,,,1,,29,6,5,2
11,62,11,6,3050,69,S,07G,0j,,Sm,,4,5,,70,,,,,1,,76,16,11,2
11,62,12,4,3051,70,X,20F,6h,1L,Ja,,4,4,,52,,,,,1,,81,17,12,2
11,62,12,5,3052,71,X,20F,6h,1L,Ja,,4,4,,44,,,,,1,,82,17,12,2
11,62,10,1,3053,72,L,10I,0a,3U,So,,4,5,,,,,,,1,,64,13,10,2
11,62,8,5,3054,74,D,05E,1e,,Sm,,4,4,,65,,,,,1,,54,11,8,2
11,62,10,1,3055,75,F,07G,4i,,Sm,,4,5,,65,,,,,1,,64,13,10,2
11,62,10,5,3056,76,G,11H,5j,3U,Up,,4,5,,62,,,,,1,,68,14,10,2
11,62,9,3,3057,77,D,06G,4a,,Sm,,4,5,,,,,,,1,,59,12,9,2
11,62,9,1,3058,78,F,06G,8a,,Sm,,4,4,,57,,,,,1,,57,12,9,2
11,62,12,5,3059,80,U,09I,8b,3U,So,,4,5,,,,,,,1,,82,17,12,2
11,62,12,1,3000,81,S,12I,1b,3U,Up,,4,5,,68,,,,,1,,78,16,12,2
11,62,11,7,3001,82,S,02D,6b,4S,Sk,,4,5,,80,,,,,1,,77,16,11,2
11,61,10,5,3002,83,F,10I,5g,3U,So,,4,5,,60,,,,,1,,69,14,10,2
11,62,12,3,3003,84,V,07G,6d,,Sm,,4,5,,,,,,,1,,80,16,12,2
11,62,9,2,3004,85,D,07G,6d,,Sm,,4,5,,,,,,,1,,58,12,9,2
11,62,12,4,3005,86,V,07G,6d,,Sm,,4,5,,,,,,,1,,81,17,12,2
11,62,11,8,3006,87,F,10I,9b,3U,Up,,4,5,,,,,,,1,,74,-9,-9,2
11,62,8,7,3007,88,D,02D,1f,4S,Sk,,4,5,,65,,,,,1,,56,12,8,2
11,62,7,3,3008,89,L,03C,5c,4S,Sk,,4,4,,66,,,,,1,,45,9,7,2
11,62,9,3,3009,90,D,11C,6b,2H,Vr,,4,5,,58,,,,,1,,59,12,9,2
11,61,11,3,3010,91,T,07G,4i,,Sm,,4,5,,,,,,,1,,74,15,11,2
11,62,10,6,3011,92,G,02C,7g,4S,Sk,,4,5,,,,,,,1,,69,14,10,2
11,62,5,7,3012,93,D,06F,0b,,Sm,,4,1,,78,,,,,1,,35,7,5,2
11,62,10,6,3013,94,G,02C,7g,4S,Sk,,4,5,,,,,,,1,,69,14,10,2
11,62,7,3,3014,96,F,11H,2j,3U,Up,,4,3,,56,,,,,1,,45,9,7,2
11,62,13,7,3015,97,K,10I,7a,3U,Up,,4,5,,61,,,,,1,,91,19,13,2
11,62,13,7,3016,98,K,10I,7a,3U,Up,,4,5,,65,,,,,1,,91,19,13,2
11,62,7,7,3017,99,D,07E,2i,,Sm,,4,4,,63,,,,,1,,49,10,7,2
11,62,5,2,3018,100,S,03C,5c,4S,Sk,,4,4,,71,,,,,1,,30,6,5,2
11,62,5,7,3019,101,D,07G,0j,,Sm,,4,4,,,44,,,,1,,35,7,5,2
11,62,1,2,3020,103,K,03C,8i,4S,Sk,,4,1,,73,,,,,1,,2,1,1,2
11,62,6,1,3021,105,D,07G,4i,,Sm,,4,1,,63,,,,,1,,36,8,6,2
11,62,7,1,3022,106,G,03C,8i,4S,Sk,,4,4,,71,,,,,1,,43,9,7,2
11,61,52,3,3023,107,D,07G,5g,,Sm,,4,1,,,,,,,1,,361,73,52,2
11,61,52,2,3024,108,D,07G,5g,,Sm,,4,1,,64,,,,,1,,360,72,52,2
11,62,2,7,3025,109,G,11H,8e,3U,Vs,,4,1,,50,,,,,1,,14,3,2,2
11,62,4,3,3026,111,D,09G,6a,3U,Og,,4,4,,,,,,,1,,24,5,4,2
11,62,4,5,3027,112,X,20F,0f,1L,Ja,,4,1,,53,,,,,1,,26,6,4,2
11,62,5,4,3028,114,S,07G,3h,,Sm,,4,4,,,,,,,1,,32,7,5,2
11,62,2,5,3029,115,D,07F,2d,,Sm,,4,1,,60,,,,,1,,12,3,2,2
11,62,10,7,3030,116,U,11H,5j,3U,Up,,4,5,,,,,,,1,,70,14,10,2
11,62,12,1,3031,117,S,12I,1b,3U,Up,,4,5,,71,,,,,1,,78,16,12,2
11,62,9,5,3032,119,G,10I,7h,3U,Up,,4,5,,,,,,,1,,61,13,9,2
11,61,7,7,3033,120,K,11D,0b,2H,Vr,,4,5,,,,,,,1,,50,10,8,2
11,62,2,5,3034,121,D,07F,2d,,Sm,,4,1,,52,,,,,1,,12,3,2,2
11,61,14,6,3035,122,K,19E,2h,1L,Ja,,4,5,,55,,,,,1,,98,20,14,2
11,61,6,7,3036,123,D,07G,0i,,Sm,,4,4,,,,,,,1,,43,9,7,2
11,61,8,6,3037,124,G,10D,7e,2H,Vr,,4,4,,,,,,,1,,56,12,8,2
11,61,2,7,3038,125,S,07G,3e,,Sm,,4,1,,60,,,,,1,,15,3,3,2
11,61,8,1,3039,126,D,07G,3e,,Sm,,4,5,,,,,,,1,,51,11,8,2
11,61,12,2,3040,127,D,06J,4f,,Go,,4,5,,64,,,,,1,,80,16,12,2
11,61,7,7,3041,128,D,06J,2f,,Go,,4,4,,58,,,,,1,,50,10,8,2
11,61,11,7,3042,129,D,06J,4f,,Go,,4,5,,81,,,,,1,,78,16,12,2
11,63,15,7,3043,130,U,07H,4a,,Sm,,4,5,,,,,,,1,,104,21,15,2
11,63,16,6,3044,131,G,10I,1i,3U,So,,4,7,,,,,,,1,,110,22,16,2
11,63,15,2,3045,132,V,07G,6d,,Sm,,4,5,,,,,,,1,,99,20,15,2
11,63,15,5,3046,133,G,11I,5a,3U,Up,,4,7,,,,,,,1,,102,21,15,2
11,63,17,1,3047,134,U,07G,3e,,Sm,,4,5,,,,,,,1,,112,23,16,2
11,63,13,1,3048,135,U,12I,1b,3U,Up,,4,5,,,,,,,1,,84,17,12,2
11,63,14,2,3049,136,U,20F,0f,1L,Ja,,4,4,,,,,,,1,,92,19,14,2
11,63,13,6,3050,137,U,12I,1b,3U,Up,,4,5,,,,,,,1,,89,18,13,2
11,63,13,4,3051,138,U,10I,1i,3U,So,,4,5,,,,,,,1,,87,18,13,2
11,63,12,5,3052,139,K,03C,8i,4S,Sk,,4,1,,51,,,,,1,,81,17,12,2
11,63,19,2,3053,140,U,30J,1d,1L,Lp,,4,5,,,,,,,1,,127,26,19,2
11,63,16,1,3054,141,U,10I,0a,3U,So,,4,5,,,,,,,1,,105,21,15,2
11,63,16,3,3055,142,U,10I,0a,3U,So,,4,5,,,,,,,1,,107,22,16,2
11,63,15,7,3056,143,U,30J,1d,1L,Lp,,4,5,,,,,,,1,,104,21,15,2
11,63,9,7,3057,144,U,09G,1g,3U,Og,,4,5,,,,,,,1,,62,13,9,2
11,63,11,4,3058,145,V,09G,1g,3U,Og,,4,4,,,,,,,1,,73,15,11,2
11,63,14,7,3059,146,V,07G,6d,,Sm,,4,5,,,,,,,1,,97,20,14,2
11,63,13,6,3000,147,K,11I,4b,3U,Up,,4,5,,,,,,,1,,89,18,13,2
11,63,4,7,3001,148,U,02C,7g,4S,Sk,,4,3,,,,,,,1,,27,6,4,2
11,61,10,1,3002,149,F,10C,2g,2H,Vr,,4,5,,65,,,,,1,,65,13,10,2
11,63,10,6,3003,150,S,12I,1b,3U,Up,,4,5,,,,,,,1,,68,14,10,2
11,63,5,7,3004,151,D,03D,4h,4S,Sk,,4,5,,,,,,,1,,34,7,5,2
11,61,8,3,3005,152,F,10I,5g,3U,So,,4,5,,40,,,,,1,,53,11,8,2
11,63,15,1,3006,153,U,07G,4i,,Sm,,4,5,,,,,,,1,,98,20,14,2
11,63,13,4,3007,154,U,07G,3h,,Sm,,4,4,,,,,,,1,,87,18,13,2
11,63,14,1,3008,155,U,07G,3h,,Sm,,4,5,,,,,,,1,,91,19,13,2
11,63,10,6,3009,156,U,07G,4i,,Sm,,4,4,,54,,,,,1,,68,14,10,2
11,63,10,6,3010,157,U,07G,4i,,Sm,,4,5,,61,,,,,1,,68,14,10,2
11,61,3,7,3011,158,F,09H,7f,3U,So,,4,1,,62,,,,,1,,22,5,4,2
11,63,14,1,3012,159,X,20F,6h,1L,Ja,,4,5,,45,,,,,1,,91,19,13,2
11,63,15,1,3013,160,U,07G,4i,,Sm,,4,5,,,,,,,1,,98,20,14,2
11,63,11,7,3014,161,K,10I,7a,3U,Up,,4,5,,62,,,,,1,,76,16,11,2
11,63,11,4,3015,162,U,09G,1g,3U,Og,,4,5,,,,,,,1,,73,15,11,2
11,61,13,1,3016,163,F,11H,2j,3U,Up,,4,5,,,,,,,1,,86,18,13,2
11,63,10,5,3017,164,U,07H,4a,,Sm,,4,5,,,,,,,1,,67,14,10,2
11,63,10,7,3018,165,U,10I,7h,3U,Up,,4,5,,,,,,,1,,69,14,10,2
11,63,12,6,3019,166,U,09G,7f,3U,So,,4,5,,,,,,,1,,82,17,12,2
11,63,12,1,3020,167,U,10I,7h,3U,Up,,4,5,,,,,,,1,,77,16,11,2
11,63,8,2,3021,168,X,20F,6h,1L,Ja,,4,2,,48,,,,,1,,50,10,8,2
11,61,4,6,3022,169,X,20F,6h,1L,Ja,,4,1,,57,,,,,1,,28,6,4,2
11,63,13,1,3023,170,U,02D,6b,4S,Sk,,4,5,,,,,,,1,,84,17,12,2
11,63,11,7,3024,171,K,10I,7a,3U,So,,4,5,,64,,,,,1,,76,16,11,2
11,63,15,5,3025,172,U,07H,4a,,Sm,,4,5,,,,,,,1,,102,21,15,2
11,63,13,1,3026,173,L,09G,1g,3U,Og,,4,5,,,,,,,1,,84,17,12,2
11,63,13,1,3027,174,L,09G,1g,3U,Og,,4,5,,,,,,,1,,84,17,12,2
11,63,14,2,3028,175,F,12F,3b,2H,Dr,,4,5,,52,,,,,1,,92,19,14,2
11,63,15,3,3029,176,V,07G,6d,,Sm,,4,5,,,,,,,1,,100,20,15,2
11,63,14,2,3030,177,X,20F,6h,1L,Ja,,4,5,,,,,,,1,,92,19,14,2
11,63,13,1,3031,178,G,07G,3e,,Sm,,4,5,,,,,,,1,,84,17,12,2
11,63,12,2,3032,179,U,10I,7h,3U,Up,,4,5,,,,,,,1,,78,16,12,2
11,63,14,2,3033,180,X,20F,0f,1L,Ja,,4,4,,,,,,,1,,92,19,14,2
11,63,14,2,3034,181,X,20F,0f,1L,Ja,,4,4,,,,,,,1,,92,19,14,2
11,63,15,3,3035,182,X,20F,0f,1L,Ja,,4,5,,,,,,,1,,100,20,15,2
11,63,14,2,3036,183,X,20F,7h,1L,Ja,,4,4,,40,,,,,1,,92,19,14,2
11,63,9,6,3037,184,U,11H,2j,3U,Up,,4,1,,44,,,,,1,,61,13,9,2
11,62,9,5,3038,186,U,07G,3e,,Sm,,4,2,,,,,,,1,,61,13,9,2
11,63,21,4,3039,187,G,11H,2j,3U,Up,,4,7,,,,,,,1,,143,29,21,2
11,63,21,7,3040,188,F,11H,2j,3U,Up,,4,6,,,,,,,1,,146,30,21,2
11,63,15,5,3041,190,K,11I,4b,3U,Up,,4,5,,,,,,,1,,102,21,15,2
11,63,20,5,3042,191,U,10I,7h,3U,Up,,4,7,,,,,,,1,,137,28,20,2
11,63,16,5,3043,192,G,10I,1i,3U,So,,4,7,,,,,,,1,,109,22,16,2
11,63,10,1,3044,193,U,09G,1g,3U,Og,,4,1,,,,,,,1,,63,13,9,2
11,63,12,5,3045,194,D,02D,0e,4S,Sk,,4,5,,,,,,,1,,81,17,12,2
11,63,14,1,3046,195,X,22E,0e,1L,Ja,,4,4,,,,,,,1,,91,19,13,2
11,63,9,6,3047,196,U,07G,3h,,Sm,,4,4,,63,,,,,1,,61,13,9,2
11,63,11,1,3048,197,U,06H,9a,,Sm,,4,3,,,,,,,1,,70,14,10,2
11,63,14,1,3049,198,U,18E,7f,1L,Ja,,4,4,,,,,,,1,,91,19,13,2
11,63,13,5,3050,199,U,06G,8a,,Sm,,4,5,,,,,,,1,,88,18,13,2
11,63,13,4,3051,200,U,09G,8e,3U,So,,4,5,,,,,,,1,,87,18,13,2
11,63,12,6,3052,201,U,10I,1i,3U,So,,4,4,,,,,,,1,,82,17,12,2
11,63,7,4,3053,202,U,02C,7g,4S,Sk,,4,4,,,,,,,1,,45,9,7,2
11,63,8,4,3054,203,K,02D,9d,4S,Sk,,4,4,,94,,,,,1,,52,11,8,2
11,63,18,3,3055,204,U,11H,2j,3U,Up,,4,7,,,,,,,1,,121,25,18,2
11,62,11,8,3056,205,X,20F,6h,1L,Ja,,4,5,,45,,,,,1,,74,-9,-9,2
11,61,4,4,3057,206,X,20F,6h,1L,Ja,,4,1,,46,,,,,1,,26,6,4,2
11,64,9,4,3058,207,X,20F,6h,1L,Ja,,4,5,,65,,,,,1,,58,12,9,2
11,63,15,2,3059,208,U,02D,6b,4S,Sk,,4,7,,,,,,,1,,99,20,15,2
11,62,22,4,3000,209,S,02D,6b,4S,Sk,,4,7,,59,,,,,1,,151,31,22,2
11,61,9,6,3001,210,L,06J,4e,,Go,,4,5,,64,,,,,1,,63,13,9,2
11,64,5,6,3002,211,U,07G,4i,,Sm,,4,1,,,,,,,1,,32,7,5,2
11,61,7,7,3003,213,D,07J,3h,,Go,,4,4,,,,,,,1,,50,10,8,2
11,64,9,4,3004,215,U,10I,7h,3U,Up,,4,4,,,,,,,1,,58,12,9,2
11,63,24,5,3005,216,U,07G,4i,,Sm,,4,7,,61,,,,,1,,165,33,24,2
11,62,11,4,3006,217,K,07H,4a,,Sm,,4,5,,60,,,,,1,,74,15,11,2
11,61,6,7,3007,218,D,06J,2e,,Go,,4,1,,54,,,,,1,,43,9,7,2
11,61,14,7,3008,219,S,31K,5h,1L,Lp,,4,5,,,,,,,1,,99,20,15,2
11,61,7,4,3009,220,D,05J,8c,,Go,,4,4,,58,,,,,1,,47,10,7,2
11,61,14,6,3010,221,U,23F,9d,1L,Lp,,4,1,,51,,,,,1,,98,20,14,2
11,61,5,5,3011,222,X,20F,6h,1L,Ja,,4,1,,58,,,,,1,,34,7,5,2
11,61,13,6,3012,223,V,29J,7h,1L,Lp,,4,5,,46,,,,,1,,91,19,13,2
11,61,6,3,3013,224,D,09H,7f,3U,So,,4,1,,60,,,,,1,,39,8,6,2
11,62,23,4,3014,225,S,19E,0i,1L,Ja,,4,7,,38,,,,,1,,158,32,23,2
11,61,15,7,3015,226,S,30I,9a,1L,Lp,,4,5,,39,,,,,1,,106,22,16,2
11,62,18,7,3016,227,U,07H,6a,,Sm,,4,7,,60,,,,,1,,126,26,18,2
11,62,25,7,3017,228,S,07G,3h,,Sm,,4,7,,58,,,,,1,,175,35,25,2
11,62,22,4,3018,229,S,19D,6g,1L,Ja,,4,5,,49,,,,,1,,151,31,22,2
11,61,8,3,3019,230,D,05E,1e,,Sm,,4,5,,71,,,,,1,,53,11,8,2
11,61,13,4,3020,231,S,31K,5h,1L,Lp,,4,5,,,,,,,1,,89,18,13,2
11,62,26,1,3021,232,S,11C,3c,2H,Vr,,4,7,,,,,,,1,,176,36,26,2
11,69,5,6,3022,233,U,11F,1d,2H,Vs,,4,1,,,,,,,1,,32,7,5,2
11,61,12,6,3023,234,F,07G,0i,,Sm,,4,5,,,,,,,1,,84,17,12,2
11,61,13,6,3024,235,U,10H,4f,3U,So,,4,5,,73,,,,,1,,91,19,13,2
11,66,2,2,3025,2001,F,12E,4g,2H,Dr,0,1,,1,42,,74,65,,1,376,11,3,2,1
11,66,6,6,3026,2002,T,12E,4g,2H,Dr,2,2,1,1,41,,74,63,,1,1138,43,9,7,2
11,66,5,2,3027,2003,F,10I,7h,3U,Up,0,1,,3,62,,417,65,,1,397,32,7,5,1
11,66,4,2,3028,2004,G,10I,7h,3U,Up,0,2,2,1,71,,417,65,,1,390,25,5,4,2
11,66,1,1,2300,2005,V,10G,9g,3U,Vs,9,1,,,,,63,56,1,1,3653,3,1,1,1
11,66,5,6,2300,2006,V,10G,9g,3U,Vs,2,2,,,,,63,63,,1,1131,36,8,6,2
11,66,8,1,1300,2007,G,09H,2a,3U,So,4,1,,3,81,,280,61,,1,1877,52,11,8,1
11,66,7,2,800,2008,F,12D,4f,2H,Vr,4,1,,3,73,,425,61,,1,1871,46,10,7,1
11,66,8,2,1725,2009,L,10G,9c,3U,Vs,4,1,,3,79,,447,61,,1,1878,53,11,8,1
11,66,8,6,500,2010,V,12F,7a,2H,Dr,1,1,,3,44,,237,64,,1,787,57,12,9,1
11,66,8,2,1400,2011,G,10I,1i,3U,So,0,1,,3,50,,32,65,,1,418,53,11,8,1
11,66,7,8,3029,2012,U,10I,1i,3U,So,1,1,,3,82,,32,64,,1,778,48,-9,-9,1
11,66,7,6,1500,2013,L,10I,1i,3U,So,6,1,,3,90,,32,59,,1,2605,50,10,8,1
11,66,8,1,3030,2014,G,10I,1i,3U,So,2,2,3,,54,,32,63,,1,1147,52,11,8,2
11,66,5,3,3031,2015,D,10I,1i,3U,So,2,1,,3,76,,32,63,,1,1128,33,7,5,1
11,66,5,2,3032,2016,G,10I,1i,3U,So,0,1,,3,72,,32,65,,1,397,32,7,5,1
11,66,8,1,1200,2017,G,10I,1i,3U,So,3,2,3,,50,,32,62,,1,1512,52,11,8,2
11,66,9,2,2230,2018,V,12E,1g,2H,Dr,4,2,,,63,,448,61,,1,1885,60,12,9,2
11,66,9,4,3033,2019,V,10I,1i,3U,So,0,1,,3,62,,32,65,,1,427,62,13,9,1
11,66,9,1,1500,2020,G,10I,1i,3U,So,1,2,3,,60,,32,64,,1,789,59,12,9,2
11,66,9,7,500,2021,V,10G,9c,3U,Vs,0,2,4,,63,,447,65,,1,430,65,13,10,2
11,66,9,3,2100,2022,V,09G,2g,3U,Og,4,2,4,,66,,280,61,,1,1886,61,13,9,2
11,66,9,4,3034,2023,V,10I,1i,3U,So,0,2,5,,60,,32,65,,1,427,62,13,9,2
11,66,9,6,100,2024,V,13I,0d,3U,Up,2,1,,3,62,,87,63,,1,1159,64,13,10,1
11,66,9,7,200,2025,V,12F,7a,2H,Dr,3,1,,3,62,,237,62,,1,1525,65,13,10,1
11,66,9,6,201,2026,V,13F,3c,2H,Dr,0,2,,,45,,80,65,,1,429,64,13,10,2
11,66,9,6,202,2027,V,13F,3c,2H,Dr,,1,,3,60,,80,,,1,,64,13,10,1
11,66,9,2,1000,2028,S,11H,2j,3U,Up,0,1,,3,68,,341,65,,1,425,60,12,9,1
11,66,8,2,800,2029,F,12D,4f,2H,Vr,6,2,1,,52,,98,59,,1,2608,53,11,8,2
11,66,8,5,2000,2030,V,10G,9c,3U,Vs,2,1,,3,80,,447,63,,1,1151,56,12,8,1
11,66,9,7,801,2031,K,10F,8j,2H,Vs,0,2,4,,62,,132,65,,1,430,65,13,10,2
11,66,9,3,0,2032,V,13I,0d,3U,Up,2,2,4,,58,,87,63,,1,1156,61,13,9,2
11,66,10,2,2300,2033,V,12F,7a,2H,Dr,1,2,4,2,62,,237,64,,1,797,67,14,10,2
11,66,10,3,1701,2034,L,09H,2a,3U,So,1,2,5,,63,,280,64,,1,798,68,14,10,2
11,66,7,6,3035,2035,L,10I,7h,3U,Up,1,2,4,,63,,417,64,,1,780,50,10,8,2
11,66,10,4,1500,2036,V,12F,7a,2H,Dr,2,2,3,,49,,131,63,,1,1164,69,14,10,2
11,66,10,2,101,2037,V,12D,4f,2H,Vr,0,1,,3,52,,425,65,,1,432,67,14,10,1
11,66,9,7,1,2038,V,12D,4f,2H,Vr,6,1,,3,71,,425,59,,1,2620,65,13,10,1
11,66,10,2,300,2039,V,11E,7g,2H,Vs,0,2,4,2,,,161,65,,1,432,67,14,10,2
11,66,9,2,301,2040,V,12E,4e,2H,Dr,0,2,1,1,53,,381,65,,1,425,60,12,9,2
11,66,9,2,401,2041,V,12E,4e,2H,Dr,2,2,4,1,58,,381,63,,1,1155,60,12,9,2
11,66,11,1,102,2042,V,10G,7a,3U,Vs,0,2,5,,75,,435,65,,1,438,73,15,11,2
11,66,11,1,1501,2043,S,10D,7j,2H,Vr,7,2,4,1,63,,409,58,,1,2993,73,15,11,2
11,66,10,4,701,2044,S,10I,1c,3U,So,0,1,,3,59,,206,65,,1,434,69,14,10,1
11,66,9,1,1600,2045,S,10I,1c,3U,So,0,1,,3,65,,206,65,,1,424,59,12,9,1
11,66,10,4,1601,2046,S,10I,1c,3U,So,0,2,4,1,62,,206,65,,1,434,69,14,10,2
11,66,9,3,2301,2047,V,10I,1c,3U,So,3,2,3,1,63,,206,62,,1,1521,61,13,9,2
11,66,10,4,1201,2048,S,10C,5d,2H,Vr,4,1,,3,,,78,61,,1,1894,69,14,10,1
11,66,11,5,203,2049,V,13I,0d,3U,Up,2,1,,3,56,,87,63,,1,1172,77,16,11,1
11,66,11,3,600,2050,F,12D,4f,2H,Vr,1,1,,3,56,,425,64,,1,805,75,15,11,1
11,66,11,4,2101,2051,V,12E,0g,2H,Vs,0,1,,3,60,,448,65,1,1,441,76,16,11,1
11,66,9,7,2001,2052,V,09H,6d,3U,So,,1,,3,69,,240,,,1,,65,13,10,1
11,66,11,5,702,2053,F,12D,4f,2H,Vr,0,1,,3,58,,425,65,,1,442,77,16,11,1
11,66,11,6,501,2054,F,12D,4f,2H,Vr,3,2,1,1,49,,425,62,,1,1538,78,16,12,2
11,66,12,2,502,2055,S,11H,2j,3U,Up,5,2,5,,68,,341,60,,1,2271,81,17,12,2
11,66,10,2,103,2056,V,10I,1i,3U,So,0,1,,3,64,,32,65,,1,432,67,14,10,1
11,66,11,5,1702,2057,L,10I,1i,3U,So,0,1,,3,55,,32,65,,1,442,77,16,11,1
11,66,12,3,1202,2058,F,11H,2j,3U,Up,0,1,,3,54,,341,65,,1,447,82,17,12,1
11,66,11,3,1301,2059,S,11E,1b,2H,Vr,4,1,,1,82,,334,61,,1,1900,75,15,11,1
11,66,11,7,3036,2060,K,10I,1c,3U,So,1,2,4,,69,,206,64,,1,809,79,16,12,2
11,66,11,7,1302,2061,K,10I,1c,3U,So,3,1,,3,71,,206,62,,1,1539,79,16,12,1
11,66,11,7,1001,2062,K,10I,1c,3U,So,1,1,,3,87,,206,64,,1,809,79,16,12,1
11,66,12,3,2102,2063,V,13I,0d,3U,Up,2,2,5,,61,,87,63,,1,1177,82,17,12,2
11,66,12,1,3037,2064,S,10I,0g,3U,So,3,1,,3,,,245,62,,1,1540,80,16,12,1
11,66,12,4,3038,2065,S,10I,0g,3U,So,1,2,5,,62,,245,64,,1,813,83,17,12,2
11,66,12,7,3039,2066,K,10I,0g,3U,So,4,1,,3,70,,245,61,,1,1911,86,18,13,1
11,66,12,7,3040,2067,K,10I,0g,3U,So,0,2,5,,,,245,65,,1,451,86,18,13,2
11,66,12,7,3041,2068,K,10I,0g,3U,So,0,2,5,,,,245,65,,1,451,86,18,13,2
